EDITION,QUESTION
Anniversary,"Če bi imela priložnost potovati v preteklost in dati nasvet najinemu mlajšemu jazu, kaj bi mu rekla?"
Anniversary,Katera pesem najbolje opiše najino razmerje?
Anniversary,Kateri je bil najbolj smešen ali neroden trenutek v najini zvezi?
Anniversary,"Če bi lahko izbrisala en težek trenutek, ki sva ga doživela skupaj, bi to storil/a? Zakaj da ali zakaj ne?"
Anniversary,"Kaj je najin inner joke, ki ga drugi ne razumejo?"
Anniversary,Kaj sem te naučil/a o ljubezni v teh letih?
Anniversary,"Kaj je nekaj kar bi si mogla povedat že zdavnaj, pa si nisva, ker sva čutila, da je prepozno, da bi to povedala naglas?"
Anniversary,"Kaj si misliš o tem, kako rešujeva konflikte?"
Anniversary,Kdaj se počutiš najbolj ljubljeno in cenjeno ob meni?
Anniversary,Kaj ti je pri meni fizično najbolj všeč?
Anniversary,Kateri je najin najljubši hobi trenutno in katerega bi mogla začet?
Anniversary,"Če bi morala izbrati eno pustolovščino, ki bi jo skupaj doživela, katero bi izbrala kot najljubšo?"
Anniversary,Kateri je tvoj najljubši vzdevek zame?
We can make it,"Kaj lahko naredim, da te pomirim, ko ti je hudo?"
We can make it,"Katera ovira je naslednja, ki bi jo morala skupaj premagati?"
We can make it,"Kaj lahko naredim jutri, da bo tvoj dan pa četudi samo malenkost boljši?"
We can make it,Kaj je najpogostejši razlog za tvoj nasmeh?
We can make it,"Kdaj si najbolj srečen/srečna (, ko si ob meni)?"
We can make it,"Kako si želiš, da bi ti pokazal/a ljubezen?"
We can make it,"Katere moje besede te najbolj zabolijo ali potisnejo v attack/defence mode? Kaj lahko spremenim, da ti bo lažje?"
We can make it,"Kako bi želel, da komunicirava, ko pride do konflikta?"
We can make it,"Se ti zdi, da še vedno gledava v isto smer? Če ne – kam si ti želiš iti?"
We can make it,Kateri skupni cilj sva začela zapostavljati?
We can make it,"Kaj bi morala spremeniti vsak pri sebi, da bi izboljšala najin odnos?"
We can make it,Je kaj v kar dvomiš v najinem odnosu in tega še nisi izrazil/a?
We can make it,Kaj bi si želel/a slišati od mene pa tega nisem izrekel/la?
We can make it,"Kaj bi ti danes pomenilo, da naredim samo zato, da ti olajšam dan?"
We can make it,"Kaj lahko skupaj ustvariva, da bova okrepila najino vez?"
We can make it,Kako lahko skupaj oblikujeva prostor v katerem bova oba čutila priložnost za rast? (my absolute favourite)
We can make it,Kaj te najbolj zaboli v konfliktu?
We can make it,"Kako lahko oba poskrbiva, da se bova počutila kot ekipa, tudi ko se ne strinjava?"
