EDITION,QUESTION
Midva Vsak Dan,"Kateri moj objem ti je najljubši: tisti za dobro jutro, tisti v tolažbo ali tisti ""kar tako""?"
Uspelo nama bo,Kaj ti v najinem odnosu daje občutek varnosti?
Uspelo nama bo,"Se ti zdi, da se ob prepirih bova drug proti drugemu ali skupaj proti problemu?"
Uspelo nama bo,"Kaj je tisto, čemur si se zavestno odpovedal/a, da bi najin odnos deloval, in ali kdaj čutiš obžalovanje zaradi tega?"
Uspelo nama bo,"Katera tvoja ""rana"" iz otroštva se v najinem odnosu najpogosteje oglasi?"
Uspelo nama bo,"Ali obstaja kakšna potreba v tvojem srcu, ki je ne upaš izraziti, ker se bojiš, da bi bila zame preveč?"
Uspelo nama bo,"Kaj je tista stvar, ki je pri meni ne razumeš, pa si se sčasoma preprosto nehal/a truditi, da bi jo?"
Uspelo nama bo,Če bi bila ljubezen odločitev in ne čustvo – zakaj bi se vsako jutro znova odločil/a zame?
Uspelo nama bo,"Kaj je tista stvar, za katero želiš, da si jo ljudje (in jaz) zapomnijo o tebi?"
Uspelo nama bo,"Kako želiš, da se odzovem, ko si pod stresom?"
Uspelo nama bo,"Katere besede od mene najbolj hrepeniš slišati, pa ti jih morda premalokrat povem?"
Uspelo nama bo,"Kaj je najboljši način, da se umiriva, preden nadaljujeva pogovor?"
Uspelo nama bo,Kdaj in kako najlažje začneš resen pogovor z mano?
Uspelo nama bo,"Katero plat sebe želiš, da bi bolje razumel/a?"
Uspelo nama bo,"Kateri del sebe najtežje sprejmeš in kako se počutiš, ko jaz vidim ta del tebe?"
Uspelo nama bo,"Česa se v najinem odnosu najbolj bojiš, pa o tem redko spregovoriš?"
Uspelo nama bo,"Katero temo je za naju najtežje odpreti – in zakaj misliš, da je tako?"
Uspelo nama bo,Kako lahko izboljšam svoj način komuniciranja s tabo?
Uspelo nama bo,Kako lahko izboljšam svoj način poslušanja?
Uspelo nama bo,"Kako želiš, da se odzovem, ko si vidno razburjen_a?"
Praznovanje Obletnice,"Kaj je drugače kot kar si si predstavljal, ko sva začela?"
Praznovanje Obletnice,Katera izkušnja naju je najbolj zbližala?
Praznovanje Obletnice,Kaj je po tvojem mnenju najina največja skupna moč kot par?
Praznovanje Obletnice,"Kako bi opisal/a najin odnos nekomu, ki naju še nikoli ni srečal?"
Praznovanje Obletnice,"Kako misliš, da sva se skozi leta spremenila kot par?"
Praznovanje Obletnice,"Če bi lahko podoživel en dan iz najine zveze, kateri bi bil in zakaj?"
Praznovanje Obletnice,"Kateri film, pesem ali knjiga te vedno spomni name?"
Praznovanje Obletnice,"Kdaj si se prvič zavedal/a, da si želiš z mano preživeti življenje?"
Praznovanje Obletnice,Kateri je tvoj najlepši spomin iz najinih prvih let skupaj?
Praznovanje Obletnice,Kateri skupni cilj še nisva osvojila in je še vedno v najinem načrtu?
Praznovanje Obletnice,Kaj te pri meni najbolj privlači?
Praznovanje Obletnice,Kaj je najina močna točka pri reševanju prepirov?
Praznovanje Obletnice,"Kaj je nekaj, kar te je v preteklosti prizadelo, pa o tem nisva govorila?"
Praznovanje Obletnice,Kako bi se rad/a razvijal/a kot oseba v naslednjih 10 letih in kako te lahko pri tem podpiram?
Praznovanje Obletnice,"Kaj te pri meni še vedno preseneča, čeprav me poznaš že toliko let?"
Praznovanje Obletnice,"Kako veš, da te ljubim, tudi ko ti tega ne povem?"
Praznovanje Obletnice,"Kaj je ena stvar, ki jo lahko izboljšava v najinem odnosu?"
Praznovanje Obletnice,Kako lahko bolje izražam svojo ljubezen do tebe?
Praznovanje Obletnice,"Kaj je ena stvar, ki bi jo rad/a delal/a več skupaj?"
Praznovanje Obletnice,Kako zgleda tvoj najljubši zmenek z mano?
Praznovanje Obletnice,"Kaj je ena skupna želja, ki jo še nisva uresničila?"
Praznovanje Obletnice,"Če bi imela priložnost potovati v preteklost in dati nasvet najinemu mlajšemu jazu, kaj bi mu rekla?"
Praznovanje Obletnice,Katera pesem najbolje opiše najino razmerje?
Praznovanje Obletnice,Kateri je bil najbolj smešen ali neroden trenutek v najini zvezi?
Praznovanje Obletnice,"Če bi lahko izbrisala en težek trenutek, ki sva ga doživela skupaj, bi to storil/a? Zakaj da ali zakaj ne?"
Praznovanje Obletnice,"Kaj je najin inner joke, ki ga drugi ne razumejo?"
Praznovanje Obletnice,Kaj sem te naučil/a o ljubezni v teh letih?
Praznovanje Obletnice,"Kaj je nekaj kar bi si mogla povedat že zdavnaj, pa si nisva, ker sva čutila, da je prepozno, da bi to povedala naglas?"
Praznovanje Obletnice,"Kaj si misliš o tem, kako rešujeva konflikte?"
Praznovanje Obletnice,Kdaj se počutiš najbolj ljubljeno in cenjeno ob meni?
Praznovanje Obletnice,Kaj ti je pri meni fizično najbolj všeč?
Praznovanje Obletnice,Kateri je najin najljubši hobi trenutno in katerega bi mogla začet?
Praznovanje Obletnice,"Če bi morala izbrati eno pustolovščino, ki bi jo skupaj doživela, katero bi izbrala kot najljubšo?"
Praznovanje Obletnice,Kateri je tvoj najljubši vzdevek zame?
Uspelo nama bo,"Kaj lahko naredim, da te pomirim, ko ti je hudo?"
Uspelo nama bo,"Katera ovira je naslednja, ki bi jo morala skupaj premagati?"
Uspelo nama bo,"Kaj lahko naredim jutri, da bo tvoj dan pa četudi samo malenkost boljši?"
Uspelo nama bo,Kaj je najpogostejši razlog za tvoj nasmeh?
Uspelo nama bo,"Kdaj si najbolj srečen/srečna (, ko si ob meni)?"
Uspelo nama bo,"Kako si želiš, da bi ti pokazal/a ljubezen?"
Uspelo nama bo,"Katere moje besede te najbolj zabolijo ali potisnejo v attack/defence mode? Kaj lahko spremenim, da ti bo lažje?"
Uspelo nama bo,"Kako bi želel, da komunicirava, ko pride do konflikta?"
Uspelo nama bo,"Se ti zdi, da še vedno gledava v isto smer? Če ne – kam si ti želiš iti?"
Uspelo nama bo,Kateri skupni cilj sva začela zapostavljati?
Uspelo nama bo,"Kaj bi morala spremeniti vsak pri sebi, da bi izboljšala najin odnos?"
Uspelo nama bo,Je kaj v kar dvomiš v najinem odnosu in tega še nisi izrazil/a?
Uspelo nama bo,Kaj bi si želel/a slišati od mene pa tega nisem izrekel/la?
Uspelo nama bo,"Kaj bi ti danes pomenilo, da naredim samo zato, da ti olajšam dan?"
Uspelo nama bo,"Kaj lahko skupaj ustvariva, da bova okrepila najino vez?"
Uspelo nama bo,Kako lahko skupaj oblikujeva prostor v katerem bova oba čutila priložnost za rast? (my absolute favourite)
Uspelo nama bo,Kaj te najbolj zaboli v konfliktu?
Uspelo nama bo,"Kako lahko oba poskrbiva, da se bova počutila kot ekipa, tudi ko se ne strinjava?"
