EDITION,QUESTION
Uspelo nama bo,"Kako bi želel, da komunicirava, ko pride do konflikta?"
Uspelo nama bo,"Se ti zdi, da še vedno gledava v isto smer? Če ne – kam si ti želiš iti?"
Uspelo nama bo,Kateri skupni cilj sva začela zapostavljati?
Uspelo nama bo,"Kaj bi morala spremeniti vsak pri sebi, da bi izboljšala najin odnos?"
Uspelo nama bo,Je kaj v kar dvomiš v najinem odnosu in tega še nisi izrazil/a?
Uspelo nama bo,Kaj bi si želel/a slišati od mene pa tega nisem izrekel/la?
Uspelo nama bo,"Kaj bi ti danes pomenilo, da naredim samo zato, da ti olajšam dan?"
Uspelo nama bo,"Kaj lahko skupaj ustvariva, da bova okrepila najino vez?"
Uspelo nama bo,Kako lahko skupaj oblikujeva prostor v katerem bova oba čutila priložnost za rast? (my absolute favourite)
Uspelo nama bo,Kaj te najbolj zaboli v konfliktu?
Uspelo nama bo,"Kako lahko oba poskrbiva, da se bova počutila kot ekipa, tudi ko se ne strinjava?"
